lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
tuonare,twonare,twonando,twonante,twonanti,twonato,twonata,twonati,twonate,twona,twoniamo,twonate,twono,twoni,twona,twoniamo,twonate,twonano,twoni,twoni,twoni,twoniamo,twoniate,twonino,twonavo,twonavi,twonava,twonavamo,twonavate,twonavano,twonassi,twonassi,twonasse,twonassimo,twonaste,twonassero,twonai,twonasti,twono,twonammo,twonaste,twonarono,twonero,twonerai,twonera,twoneremo,twonerete,twoneranno,twonerei,twoneresti,twonerebbe,twoneremmo,twonereste,twonerebbero,931
affascinare,affascinare,affascinando,affascinante,affascinanti,affascinato,affascinata,affascinati,affascinate,affascina,affasciniamo,affascinate,affascino,affascini,affascina,affasciniamo,affascinate,affascinano,affascini,affascini,affascini,affasciniamo,affasciniate,affascinino,affascinavo,affascinavi,affascinava,affascinavamo,affascinavate,affascinavano,affascinassi,affascinassi,affascinasse,affascinassimo,affascinaste,affascinassero,affascinai,affascinasti,affascino,affascinammo,affascinaste,affascinarono,affascinero,affascinerai,affascinera,affascineremo,affascinerete,affascineranno,affascinerei,affascineresti,affascinerebbe,affascineremmo,affascinereste,affascinerebbero,932
assalire,assalire,assalendo,assalente,assalenti,assalito,assalita,assaliti,assalite,assali,assaliamo,assalite,assalgo,assali,assale,assaliamo,assalite,assalgono,assalga,assalga,assalga,assaliamo,assaliate,assalgano,assalivo,assalivi,assaliva,assalivamo,assalivate,assalivano,assalissi,assalissi,assalisse,assalissimo,assaliste,assalissero,assalii,assalisti,assali,assalimmo,assaliste,assalirono,assaliro,assalirai,assalira,assaliremo,assalirete,assaliranno,assalirei,assaliresti,assalirebbe,assaliremmo,assalireste,assalirebbero,933
emigrare,emigrare,emigrando,emigrante,emigranti,emigrato,emigrata,emigrati,emigrate,emigra,emigriamo,emigrate,emigro,emigri,emigra,emigriamo,emigrate,emigrano,emigri,emigri,emigri,emigriamo,emigriate,emigrino,emigravo,emigravi,emigrava,emigravamo,emigravate,emigravano,emigrassi,emigrassi,emigrasse,emigrassimo,emigraste,emigrassero,emigrai,emigrasti,emigro,emigrammo,emigraste,emigrarono,emigrero,emigrerai,emigrera,emigreremo,emigrerete,emigreranno,emigrerei,emigreresti,emigrerebbe,emigreremmo,emigrereste,emigrerebbero,934
massacrare,massacrare,massacrando,massacrante,massacranti,massacrato,massacrata,massacrati,massacrate,massacra,massacriamo,massacrate,massacro,massacri,massacra,massacriamo,massacrate,massacrano,massacri,massacri,massacri,massacriamo,massacriate,massacrino,massacravo,massacravi,massacrava,massacravamo,massacravate,massacravano,massacrassi,massacrassi,massacrasse,massacrassimo,massacraste,massacrassero,massacrai,massacrasti,massacro,massacrammo,massacraste,massacrarono,massacrero,massacrerai,massacrera,massacreremo,massacrerete,massacreranno,massacrerei,massacreresti,massacrerebbe,massacreremmo,massacrereste,massacrerebbero,935
meravigliare,meravigliare,meravigliando,meravigliante,meraviglianti,meravigliato,meravigliata,meravigliati,meravigliate,meraviglia,meravigliamo,meravigliate,meraviglio,meraviglii,meraviglia,meravigliamo,meravigliate,meravigliano,meraviglii,meraviglii,meraviglii,meravigliamo,meravigliate,meravigliino,meravigliavo,meravigliavi,meravigliava,meravigliavamo,meravigliavate,meravigliavano,meravigliassi,meravigliassi,meravigliasse,meravigliassimo,meravigliaste,meravigliassero,meravigliai,meravigliasti,meraviglio,meravigliammo,meravigliaste,meravigliarono,meravigliero,meraviglierai,meravigliera,meraviglieremo,meraviglierete,meraviglieranno,meraviglierei,meraviglieresti,meraviglierebbe,meraviglieremmo,meravigliereste,meraviglierebbero,936
motivare,motivare,motivando,motivante,motivanti,motivato,motivata,motivati,motivate,motiva,motiviamo,motivate,motivo,motivi,motiva,motiviamo,motivate,motivano,motivi,motivi,motivi,motiviamo,motiviate,motivino,motivavo,motivavi,motivava,motivavamo,motivavate,motivavano,motivassi,motivassi,motivasse,motivassimo,motivaste,motivassero,motivai,motivasti,motivo,motivammo,motivaste,motivarono,motivero,motiverai,motivera,motiveremo,motiverete,motiveranno,motiverei,motiveresti,motiverebbe,motiveremmo,motivereste,motiverebbero,937
regnare,regnare,regnando,regnante,regnanti,regnato,regnata,regnati,regnate,regna,regnamo,regnate,regno,regni,regna,regnamo,regnate,regnano,regni,regni,regni,regnamo,regnate,regnino,regnavo,regnavi,regnava,regnavamo,regnavate,regnavano,regnassi,regnassi,regnasse,regnassimo,regnaste,regnassero,regnai,regnasti,regno,regnammo,regnaste,regnarono,regnero,regnerai,regnera,regneremo,regnerete,regneranno,regnerei,regneresti,regnerebbe,regneremmo,regnereste,regnerebbero,938
sfogliare,sfogliare,sfogliando,sfogliante,sfoglianti,sfogliato,sfogliata,sfogliati,sfogliate,sfoglia,sfogliamo,sfogliate,sfoglio,sfoglii,sfoglia,sfogliamo,sfogliate,sfogliano,sfoglii,sfoglii,sfoglii,sfogliamo,sfogliate,sfogliino,sfogliavo,sfogliavi,sfogliava,sfogliavamo,sfogliavate,sfogliavano,sfogliassi,sfogliassi,sfogliasse,sfogliassimo,sfogliaste,sfogliassero,sfogliai,sfogliasti,sfoglio,sfogliammo,sfogliaste,sfogliarono,sfogliero,sfoglierai,sfogliera,sfoglieremo,sfoglierete,sfoglieranno,sfoglierei,sfoglieresti,sfoglierebbe,sfoglieremmo,sfogliereste,sfoglierebbero,939
collezionare,collettsionare,collettsionando,collettsionante,collettsionanti,collettsionato,collettsionata,collettsionati,collettsionate,collettsiona,collettsioniamo,collettsionate,collettsiono,collettsioni,collettsiona,collettsioniamo,collettsionate,collettsionano,collettsioni,collettsioni,collettsioni,collettsioniamo,collettsioniate,collettsionino,collettsionavo,collettsionavi,collettsionava,collettsionavamo,collettsionavate,collettsionavano,collettsionassi,collettsionassi,collettsionasse,collettsionassimo,collettsionaste,collettsionassero,collettsionai,collettsionasti,collettsiono,collettsionammo,collettsionaste,collettsionarono,collettsionero,collettsionerai,collettsionera,collettsioneremo,collettsionerete,collettsioneranno,collettsionerei,collettsioneresti,collettsionerebbe,collettsioneremmo,collettsionereste,collettsionerebbero,940
consolidare,consolidare,consolidando,consolidante,consolidanti,consolidato,consolidata,consolidati,consolidate,consolida,consolidiamo,consolidate,consolido,consolidi,consolida,consolidiamo,consolidate,consolidano,consolidi,consolidi,consolidi,consolidiamo,consolidiate,consolidino,consolidavo,consolidavi,consolidava,consolidavamo,consolidavate,consolidavano,consolidassi,consolidassi,consolidasse,consolidassimo,consolidaste,consolidassero,consolidai,consolidasti,consolido,consolidammo,consolidaste,consolidarono,consolidero,consoliderai,consolidera,consolideremo,consoliderete,consolideranno,consoliderei,consolideresti,consoliderebbe,consolideremmo,consolidereste,consoliderebbero,941
espellere,espellere,espellendo,espellente,espellenti,espulso,espulsa,espulsi,espulse,espelli,espelliamo,espellete,espello,espelli,espelle,espelliamo,espellete,espellono,espella,espella,espella,espelliamo,espelliate,espellano,espellevo,espellevi,espelleva,espellevamo,espellevate,espellevano,espellessi,espellessi,espellesse,espellessimo,espelleste,espellessero,espulsi,espellesti,espulse,espellemmo,espelleste,espulsero,espellero,espellerai,espellera,espelleremo,espellerete,espelleranno,espellerei,espelleresti,espellerebbe,espelleremmo,espellereste,espellerebbero,942
imbarcare,imbarcare,imbarcando,imbarcante,imbarcanti,imbarcato,imbarcata,imbarcati,imbarcate,imbarca,imbarchiamo,imbarcate,imbarco,imbarchi,imbarca,imbarchiamo,imbarcate,imbarcano,imbarchi,imbarchi,imbarchi,imbarchiamo,imbarchiate,imbarchino,imbarcavo,imbarcavi,imbarcava,imbarcavamo,imbarcavate,imbarcavano,imbarcassi,imbarcassi,imbarcasse,imbarcassimo,imbarcaste,imbarcassero,imbarcai,imbarcasti,imbarco,imbarcammo,imbarcaste,imbarcarono,imbarchero,imbarcherai,imbarchera,imbarcheremo,imbarcherete,imbarcheranno,imbarcherei,imbarcheresti,imbarcherebbe,imbarcheremmo,imbarchereste,imbarcherebbero,943
inghiottire,ingiottire,ingiottendo,ingiottente,ingiottenti,ingiottito,ingiottita,ingiottiti,ingiottite,ingiotti,ingiottiamo,ingiottite,ingiotto,ingiotti,ingiotte,ingiottiamo,ingiottite,ingiottono,ingiotta,ingiotta,ingiotta,ingiottiamo,ingiottiate,ingiottano,ingiottivo,ingiottivi,ingiottiva,ingiottivamo,ingiottivate,ingiottivano,ingiottissi,ingiottissi,ingiottisse,ingiottissimo,ingiottiste,ingiottissero,ingiottii,ingiottisti,ingiotti,ingiottimmo,ingiottiste,ingiottirono,ingiottiro,ingiottirai,ingiottira,ingiottiremo,ingiottirete,ingiottiranno,ingiottirei,ingiottiresti,ingiottirebbe,ingiottiremmo,ingiottireste,ingiottirebbero,944
paragonare,paragonare,paragonando,paragonante,paragonanti,paragonato,paragonata,paragonati,paragonate,paragona,paragoniamo,paragonate,paragono,paragoni,paragona,paragoniamo,paragonate,paragonano,paragoni,paragoni,paragoni,paragoniamo,paragoniate,paragonino,paragonavo,paragonavi,paragonava,paragonavamo,paragonavate,paragonavano,paragonassi,paragonassi,paragonasse,paragonassimo,paragonaste,paragonassero,paragonai,paragonasti,paragono,paragonammo,paragonaste,paragonarono,paragonero,paragonerai,paragonera,paragoneremo,paragonerete,paragoneranno,paragonerei,paragoneresti,paragonerebbe,paragoneremmo,paragonereste,paragonerebbero,945
piombare,piombare,piombando,piombante,piombanti,piombato,piombata,piombati,piombate,piomba,piombiamo,piombate,piombo,piombi,piomba,piombiamo,piombate,piombano,piombi,piombi,piombi,piombiamo,piombiate,piombino,piombavo,piombavi,piombava,piombavamo,piombavate,piombavano,piombassi,piombassi,piombasse,piombassimo,piombaste,piombassero,piombai,piombasti,piombo,piombammo,piombaste,piombarono,piombero,piomberai,piombera,piomberemo,piomberete,piomberanno,piomberei,piomberesti,piomberebbe,piomberemmo,piombereste,piomberebbero,946
prenotare,prenotare,prenotando,prenotante,prenotanti,prenotato,prenotata,prenotati,prenotate,prenota,prenotiamo,prenotate,prenoto,prenoti,prenota,prenotiamo,prenotate,prenotano,prenoti,prenoti,prenoti,prenotiamo,prenotiate,prenotino,prenotavo,prenotavi,prenotava,prenotavamo,prenotavate,prenotavano,prenotassi,prenotassi,prenotasse,prenotassimo,prenotaste,prenotassero,prenotai,prenotasti,prenoto,prenotammo,prenotaste,prenotarono,prenotero,prenoterai,prenotera,prenoteremo,prenoterete,prenoteranno,prenoterei,prenoteresti,prenoterebbe,prenoteremmo,prenotereste,prenoterebbero,947
salvaguardare,salvaguardare,salvaguardando,salvaguardante,salvaguardanti,salvaguardato,salvaguardata,salvaguardati,salvaguardate,salvaguarda,salvaguardiamo,salvaguardate,salvaguardo,salvaguardi,salvaguarda,salvaguardiamo,salvaguardate,salvaguardano,salvaguardi,salvaguardi,salvaguardi,salvaguardiamo,salvaguardiate,salvaguardino,salvaguardavo,salvaguardavi,salvaguardava,salvaguardavamo,salvaguardavate,salvaguardavano,salvaguardassi,salvaguardassi,salvaguardasse,salvaguardassimo,salvaguardaste,salvaguardassero,salvaguardai,salvaguardasti,salvaguardo,salvaguardammo,salvaguardaste,salvaguardarono,salvaguardero,salvaguarderai,salvaguardera,salvaguarderemo,salvaguarderete,salvaguarderanno,salvaguarderei,salvaguarderesti,salvaguarderebbe,salvaguarderemmo,salvaguardereste,salvaguarderebbero,948
sbucciare,zbutsciare,zbutsciando,zbutsciante,zbutscianti,zbutsciato,zbutsciata,zbutsciati,zbutsciate,zbutscia,zbutsciamo,zbutsciate,zbutscio,zbutci,zbutscia,zbutsciamo,zbutsciate,zbutsciano,zbutci,zbutci,zbutci,zbutsciamo,zbutsciate,zbutcino,zbutsciavo,zbutsciavi,zbutsciava,zbutsciavamo,zbutsciavate,zbutsciavano,zbutsciassi,zbutsciassi,zbutsciasse,zbutsciassimo,zbutsciaste,zbutsciassero,zbutsciai,zbutsciasti,zbutscio,zbutsciammo,zbutsciaste,zbutsciarono,zbutsciero,zbutscierai,zbutsciera,zbutscieremo,zbutscierete,zbutscieranno,zbutscierei,zbutscieresti,zbutscierebbe,zbutscieremmo,zbutsciereste,zbutscierebbero,949
soccorrere,soccorrere,soccorrendo,soccorrente,soccorrenti,soccorso,soccorsa,soccorsi,soccorse,soccorri,soccorriamo,soccorrete,soccorro,soccorri,soccorre,soccorriamo,soccorrete,soccorrono,soccorra,soccorra,soccorra,soccorriamo,soccorriate,soccorrano,soccorrevo,soccorrevi,soccorreva,soccorrevamo,soccorrevate,soccorrevano,soccorressi,soccorressi,soccorresse,soccorressimo,soccorreste,soccorressero,soccorsi,soccorresti,soccorse,soccorremmo,soccorreste,soccorsero,soccorrero,soccorrerai,soccorrera,soccorreremo,soccorrerete,soccorreranno,soccorrerei,soccorreresti,soccorrerebbe,soccorreremmo,soccorrereste,soccorrerebbero,950
sorreggere,sorredgere,sorredgendo,sorredgente,sorredgenti,sorretto,sorretta,sorretti,sorrette,sorredgi,sorreggiamo,sorredgete,sorreggo,sorredgi,sorredge,sorreggiamo,sorredgete,sorreggono,sorregga,sorregga,sorregga,sorreggiamo,sorreggiate,sorreggano,sorredgevo,sorredgevi,sorredgeva,sorredgevamo,sorredgevate,sorredgevano,sorredgessi,sorredgessi,sorredgesse,sorredgessimo,sorredgeste,sorredgessero,sorressi,sorredgesti,sorresse,sorredgemmo,sorredgeste,sorressero,sorredgero,sorredgerai,sorredgera,sorredgeremo,sorredgerete,sorredgeranno,sorredgerei,sorredgeresti,sorredgerebbe,sorredgeremmo,sorredgereste,sorredgerebbero,951
spalancare,spalancare,spalancando,spalancante,spalancanti,spalancato,spalancata,spalancati,spalancate,spalanca,spalanchiamo,spalancate,spalanco,spalanchi,spalanca,spalanchiamo,spalancate,spalancano,spalanchi,spalanchi,spalanchi,spalanchiamo,spalanchiate,spalanchino,spalancavo,spalancavi,spalancava,spalancavamo,spalancavate,spalancavano,spalancassi,spalancassi,spalancasse,spalancassimo,spalancaste,spalancassero,spalancai,spalancasti,spalanco,spalancammo,spalancaste,spalancarono,spalanchero,spalancherai,spalanchera,spalancheremo,spalancherete,spalancheranno,spalancherei,spalancheresti,spalancherebbe,spalancheremmo,spalanchereste,spalancherebbero,952
vendicare,vendicare,vendicando,vendicante,vendicanti,vendicato,vendicata,vendicati,vendicate,vendica,vendichiamo,vendicate,vendico,vendichi,vendica,vendichiamo,vendicate,vendicano,vendichi,vendichi,vendichi,vendichiamo,vendichiate,vendichino,vendicavo,vendicavi,vendicava,vendicavamo,vendicavate,vendicavano,vendicassi,vendicassi,vendicasse,vendicassimo,vendicaste,vendicassero,vendicai,vendicasti,vendico,vendicammo,vendicaste,vendicarono,vendichero,vendicherai,vendichera,vendicheremo,vendicherete,vendicheranno,vendicherei,vendicheresti,vendicherebbe,vendicheremmo,vendichereste,vendicherebbero,953
aggiudicare,adgiudicare,adgiudicando,adgiudicante,adgiudicanti,adgiudicato,adgiudicata,adgiudicati,adgiudicate,adgiudica,adgiudichiamo,adgiudicate,adgiudico,adgiudichi,adgiudica,adgiudichiamo,adgiudicate,adgiudicano,adgiudichi,adgiudichi,adgiudichi,adgiudichiamo,adgiudichiate,adgiudichino,adgiudicavo,adgiudicavi,adgiudicava,adgiudicavamo,adgiudicavate,adgiudicavano,adgiudicassi,adgiudicassi,adgiudicasse,adgiudicassimo,adgiudicaste,adgiudicassero,adgiudicai,adgiudicasti,adgiudico,adgiudicammo,adgiudicaste,adgiudicarono,adgiudichero,adgiudicherai,adgiudichera,adgiudicheremo,adgiudicherete,adgiudicheranno,adgiudicherei,adgiudicheresti,adgiudicherebbe,adgiudicheremmo,adgiudichereste,adgiudicherebbero,954
atterrare,atterrare,atterrando,atterrante,atterranti,atterrato,atterrata,atterrati,atterrate,atterra,atterriamo,atterrate,atterro,atterri,atterra,atterriamo,atterrate,atterrano,atterri,atterri,atterri,atterriamo,atterriate,atterrino,atterravo,atterravi,atterrava,atterravamo,atterravate,atterravano,atterrassi,atterrassi,atterrasse,atterrassimo,atterraste,atterrassero,atterrai,atterrasti,atterro,atterrammo,atterraste,atterrarono,atterrero,atterrerai,atterrera,atterreremo,atterrerete,atterreranno,atterrerei,atterreresti,atterrerebbe,atterreremmo,atterrereste,atterrerebbero,955
auspicare,auspicare,auspicando,auspicante,auspicanti,auspicato,auspicata,auspicati,auspicate,auspica,auspichiamo,auspicate,auspico,auspichi,auspica,auspichiamo,auspicate,auspicano,auspichi,auspichi,auspichi,auspichiamo,auspichiate,auspichino,auspicavo,auspicavi,auspicava,auspicavamo,auspicavate,auspicavano,auspicassi,auspicassi,auspicasse,auspicassimo,auspicaste,auspicassero,auspicai,auspicasti,auspico,auspicammo,auspicaste,auspicarono,auspichero,auspicherai,auspichera,auspicheremo,auspicherete,auspicheranno,auspicherei,auspicheresti,auspicherebbe,auspicheremmo,auspichereste,auspicherebbero,956
compilare,compilare,compilando,compilante,compilanti,compilato,compilata,compilati,compilate,compila,compiliamo,compilate,compilo,compili,compila,compiliamo,compilate,compilano,compili,compili,compili,compiliamo,compiliate,compilino,compilavo,compilavi,compilava,compilavamo,compilavate,compilavano,compilassi,compilassi,compilasse,compilassimo,compilaste,compilassero,compilai,compilasti,compilo,compilammo,compilaste,compilarono,compilero,compilerai,compilera,compileremo,compilerete,compileranno,compilerei,compileresti,compilerebbe,compileremmo,compilereste,compilerebbero,957
consacrare,consacrare,consacrando,consacrante,consacranti,consacrato,consacrata,consacrati,consacrate,consacra,consacriamo,consacrate,consacro,consacri,consacra,consacriamo,consacrate,consacrano,consacri,consacri,consacri,consacriamo,consacriate,consacrino,consacravo,consacravi,consacrava,consacravamo,consacravate,consacravano,consacrassi,consacrassi,consacrasse,consacrassimo,consacraste,consacrassero,consacrai,consacrasti,consacro,consacrammo,consacraste,consacrarono,consacrero,consacrerai,consacrera,consacreremo,consacrerete,consacreranno,consacrerei,consacreresti,consacrerebbe,consacreremmo,consacrereste,consacrerebbero,958
destare,destare,destando,destante,destanti,destato,destata,destati,destate,desta,destiamo,destate,desto,desti,desta,destiamo,destate,destano,desti,desti,desti,destiamo,destiate,destino,destavo,destavi,destava,destavamo,destavate,destavano,destassi,destassi,destasse,destassimo,destaste,destassero,destai,destasti,desto,destammo,destaste,destarono,destero,desterai,destera,desteremo,desterete,desteranno,desterei,desteresti,desterebbe,desteremmo,destereste,desterebbero,959
filare,filare,filando,filante,filanti,filato,filata,filati,filate,fila,filiamo,filate,filo,fili,fila,filiamo,filate,filano,fili,fili,fili,filiamo,filiate,filino,filavo,filavi,filava,filavamo,filavate,filavano,filassi,filassi,filasse,filassimo,filaste,filassero,filai,filasti,filo,filammo,filaste,filarono,filero,filerai,filera,fileremo,filerete,fileranno,filerei,fileresti,filerebbe,fileremmo,filereste,filerebbero,960
mordere,mordere,mordendo,mordente,mordenti,morso,morsa,morsi,morse,mordi,mordiamo,mordete,mordo,mordi,morde,mordiamo,mordete,mordono,morda,morda,morda,mordiamo,mordiate,mordano,mordevo,mordevi,mordeva,mordevamo,mordevate,mordevano,mordessi,mordessi,mordesse,mordessimo,mordeste,mordessero,morsi,mordesti,morse,mordemmo,mordeste,morsero,mordero,morderai,mordera,morderemo,morderete,morderanno,morderei,morderesti,morderebbe,morderemmo,mordereste,morderebbero,961
proibire,proibire,proibendo,proibente,proibenti,proibito,proibita,proibiti,proibite,proibisci,proibiamo,proibite,proibisco,proibisci,proibisce,proibiamo,proibite,proibiscono,proibisca,proibisca,proibisca,proibiamo,proibiate,proibiscano,proibivo,proibivi,proibiva,proibivamo,proibivate,proibivano,proibissi,proibissi,proibisse,proibissimo,proibiste,proibissero,proibii,proibisti,proibi,proibimmo,proibiste,proibirono,proibiro,proibirai,proibira,proibiremo,proibirete,proibiranno,proibirei,proibiresti,proibirebbe,proibiremmo,proibireste,proibirebbero,962
scavalcare,scavalcare,scavalcando,scavalcante,scavalcanti,scavalcato,scavalcata,scavalcati,scavalcate,scavalca,scavalchiamo,scavalcate,scavalco,scavalchi,scavalca,scavalchiamo,scavalcate,scavalcano,scavalchi,scavalchi,scavalchi,scavalchiamo,scavalchiate,scavalchino,scavalcavo,scavalcavi,scavalcava,scavalcavamo,scavalcavate,scavalcavano,scavalcassi,scavalcassi,scavalcasse,scavalcassimo,scavalcaste,scavalcassero,scavalcai,scavalcasti,scavalco,scavalcammo,scavalcaste,scavalcarono,scavalchero,scavalcherai,scavalchera,scavalcheremo,scavalcherete,scavalcheranno,scavalcherei,scavalcheresti,scavalcherebbe,scavalcheremmo,scavalchereste,scavalcherebbero,963
scordare,scordare,scordando,scordante,scordanti,scordato,scordata,scordati,scordate,scorda,scordiamo,scordate,scordo,scordi,scorda,scordiamo,scordate,scordano,scordi,scordi,scordi,scordiamo,scordiate,scordino,scordavo,scordavi,scordava,scordavamo,scordavate,scordavano,scordassi,scordassi,scordasse,scordassimo,scordaste,scordassero,scordai,scordasti,scordo,scordammo,scordaste,scordarono,scordero,scorderai,scordera,scorderemo,scorderete,scorderanno,scorderei,scorderesti,scorderebbe,scorderemmo,scordereste,scorderebbero,964
seminare,seminare,seminando,seminante,seminanti,seminato,seminata,seminati,seminate,semina,seminiamo,seminate,semino,semini,semina,seminiamo,seminate,seminano,semini,semini,semini,seminiamo,seminiate,seminino,seminavo,seminavi,seminava,seminavamo,seminavate,seminavano,seminassi,seminassi,seminasse,seminassimo,seminaste,seminassero,seminai,seminasti,semino,seminammo,seminaste,seminarono,seminero,seminerai,seminera,semineremo,seminerete,semineranno,seminerei,semineresti,seminerebbe,semineremmo,seminereste,seminerebbero,965
sfogare,sfogare,sfogando,sfogante,sfoganti,sfogato,sfogata,sfogati,sfogate,sfoga,sfogiamo,sfogate,sfogo,sfogi,sfoga,sfogiamo,sfogate,sfogano,sfogi,sfogi,sfogi,sfogiamo,sfogiate,sfogino,sfogavo,sfogavi,sfogava,sfogavamo,sfogavate,sfogavano,sfogassi,sfogassi,sfogasse,sfogassimo,sfogaste,sfogassero,sfogai,sfogasti,sfogo,sfogammo,sfogaste,sfogarono,sfogero,sfogerai,sfogera,sfogeremo,sfogerete,sfogeranno,sfogerei,sfogeresti,sfogerebbe,sfogeremmo,sfogereste,sfogerebbero,966
allineare,allineare,allineando,allineante,allineanti,allineato,allineata,allineati,allineate,allinea,allineiamo,allineate,allineo,allinei,allinea,allineiamo,allineate,allineano,allinei,allinei,allinei,allineiamo,allineiate,allineino,allineavo,allineavi,allineava,allineavamo,allineavate,allineavano,allineassi,allineassi,allineasse,allineassimo,allineaste,allineassero,allineai,allineasti,allineo,allineammo,allineaste,allinearono,allineero,allineerai,allineera,allineeremo,allineerete,allineeranno,allineerei,allineeresti,allineerebbe,allineeremmo,allineereste,allineerebbero,967
amministrare,amministrare,amministrando,amministrante,amministranti,amministrato,amministrata,amministrati,amministrate,amministra,amministriamo,amministrate,amministro,amministri,amministra,amministriamo,amministrate,amministrano,amministri,amministri,amministri,amministriamo,amministriate,amministrino,amministravo,amministravi,amministrava,amministravamo,amministravate,amministravano,amministrassi,amministrassi,amministrasse,amministrassimo,amministraste,amministrassero,amministrai,amministrasti,amministro,amministrammo,amministraste,amministrarono,amministrero,amministrerai,amministrera,amministreremo,amministrerete,amministreranno,amministrerei,amministreresti,amministrerebbe,amministreremmo,amministrereste,amministrerebbero,968
contattare,contattare,contattando,contattante,contattanti,contattato,contattata,contattati,contattate,contatta,contattiamo,contattate,contatto,contatti,contatta,contattiamo,contattate,contattano,contatti,contatti,contatti,contattiamo,contattiate,contattino,contattavo,contattavi,contattava,contattavamo,contattavate,contattavano,contattassi,contattassi,contattasse,contattassimo,contattaste,contattassero,contattai,contattasti,contatto,contattammo,contattaste,contattarono,contattero,contatterai,contattera,contatteremo,contatterete,contatteranno,contatterei,contatteresti,contatterebbe,contatteremmo,contattereste,contatterebbero,969
decretare,decretare,decretando,decretante,decretanti,decretato,decretata,decretati,decretate,decreta,decretiamo,decretate,decreto,decreti,decreta,decretiamo,decretate,decretano,decreti,decreti,decreti,decretiamo,decretiate,decretino,decretavo,decretavi,decretava,decretavamo,decretavate,decretavano,decretassi,decretassi,decretasse,decretassimo,decretaste,decretassero,decretai,decretasti,decreto,decretammo,decretaste,decretarono,decretero,decreterai,decretera,decreteremo,decreterete,decreteranno,decreterei,decreteresti,decreterebbe,decreteremmo,decretereste,decreterebbero,970
imprimere,imprimere,imprimendo,imprimente,imprimenti,impresso,impressa,impressi,impresse,imprimi,imprimiamo,imprimete,imprimo,imprimi,imprime,imprimiamo,imprimete,imprimono,imprima,imprima,imprima,imprimiamo,imprimiate,imprimano,imprimevo,imprimevi,imprimeva,imprimevamo,imprimevate,imprimevano,imprimessi,imprimessi,imprimesse,imprimessimo,imprimeste,imprimessero,impressi,imprimesti,impresse,imprimemmo,imprimeste,impressero,imprimero,imprimerai,imprimera,imprimeremo,imprimerete,imprimeranno,imprimerei,imprimeresti,imprimerebbe,imprimeremmo,imprimereste,imprimerebbero,971
indebolire,indebolire,indebolendo,indebolente,indebolenti,indebolito,indebolita,indeboliti,indebolite,indebolisci,indeboliamo,indebolite,indebolisco,indebolisci,indebolisce,indeboliamo,indebolite,indeboliscono,indebolisca,indebolisca,indebolisca,indeboliamo,indeboliate,indeboliscano,indebolivo,indebolivi,indeboliva,indebolivamo,indebolivate,indebolivano,indebolissi,indebolissi,indebolisse,indebolissimo,indeboliste,indebolissero,indebolii,indebolisti,indeboli,indebolimmo,indeboliste,indebolirono,indeboliro,indebolirai,indebolira,indeboliremo,indebolirete,indeboliranno,indebolirei,indeboliresti,indebolirebbe,indeboliremmo,indebolireste,indebolirebbero,972
patire,patire,patendo,patente,patenti,patito,patita,patiti,patite,patisci,patiamo,patite,patisco,patisci,patisce,patiamo,patite,patiscono,patisca,patisca,patisca,patiamo,patiate,patiscano,pativo,pativi,pativa,pativamo,pativate,pativano,patissi,patissi,patisse,patissimo,patiste,patissero,patii,patisti,pati,patimmo,patiste,patirono,patiro,patirai,patira,patiremo,patirete,patiranno,patirei,patiresti,patirebbe,patiremmo,patireste,patirebbero,973
